118963,6599,173,2017/1/24 0:00
120411,5141,173,2016/11/14 0:00
118518,3443,173,2004/7/2 0:00
117783,1711,171,2000/12/26 0:00
115053,5199,173,2014/10/8 0:00
118183,5131,173,2016/11/18 0:00
116756,5181,159,2006/2/24 0:00
118358,3713,173,2016/7/11 0:00
126852,7499,159,2014/11/25 0:00
124160,1521,173,1999/10/18 0:00
120873,5420,390,2003/2/28 0:00
127443,7299,173,2015/4/28 0:00
121970,1830,173,2013/9/16 0:00
122386,7990,173,2007/4/4 0:00
124926,3823,173,2006/1/24 0:00
126425,5131,173,2012/11/27 0:00
124736,5165,159,2012/2/14 0:00
124808,5284,173,2011/3/1 0:00
125329,2320,171,2006/9/21 0:00
125902,5430,173,2017/8/24 0:00
154541,4190,159,2002/6/11 0:00
149856,5191,210,2003/3/19 0:00
149783,5179,173,2008/3/19 0:00
149542,3551,159,1999/8/28 0:00
156364,3872,173,2010/6/22 0:00
149970,3660,159,2005/8/4 0:00
153620,2239,172,2006/9/22 0:00
154219,1711,173,2011/3/14 0:00
150545,5131,173,2017/3/21 0:00
152899,6530,173,2017/9/11 0:00
154340,5174,159,2000/8/8 0:00
159661,2922,171,2006/7/3 0:00
158208,7239,159,2013/10/25 0:00
156595,2319,173,1999/12/28 0:00
159679,5199,173,2016/5/25 0:00
160821,3660,173,2014/8/20 0:00
157621,3839,173,2005/11/18 0:00
163127,3823,173,2017/4/14 0:00
157487,6599,173,2011/3/4 0:00
160549,2929,120,1999/9/30 0:00
157642,1351,173,2005/6/7 0:00
161436,5153,159,2011/12/22 0:00
174012,3921,173,2003/5/8 0:00
177537,3312,159,2014/5/27 0:00
171515,6599,173,2015/6/15 0:00
171706,7499,173,2013/1/25 0:00
176723,1761,173,2013/8/5 0:00
173870,4190,159,2014/3/17 0:00
174615,5430,173,2017/8/2 0:00
175914,7020,159,2012/2/1 0:00
175974,5176,173,2012/8/21 0:00
177830,7499,173,2017/10/19 0:00
175078,6210,173,2003/4/8 0:00
174034,1393,173,2007/11/27 0:00
181826,5449,173,2012/12/12 0:00
180440,1810,173,2001/7/6 0:00
180285,6190,173,2015/6/15 0:00
181628,3823,173,2007/9/13 0:00
181366,8011,173,2015/4/3 0:00
182093,5175,159,2017/5/17 0:00
183834,5179,173,2014/5/15 0:00
179777,1820,173,2010/6/10 0:00
182603,5175,159,2008/5/14 0:00
178163,4011,159,2011/7/21 0:00
181083,5129,173,2010/10/29 0:00
183492,5273,173,2015/12/1 0:00
188023,3263,130,2001/7/1 0:00
188414,2619,120,1999/9/10 0:00
184839,5010,173,2017/3/16 0:00
186824,6540,159,2006/7/28 0:00
185387,5219,173,1999/8/10 0:00
186616,5430,159,2013/4/15 0:00
184927,5281,173,2016/3/4 0:00
189507,1399,173,2002/9/12 0:00
185107,5131,173,2015/4/30 0:00
185316,5175,173,2004/3/1 0:00
185910,3399,173,2016/12/19 0:00
189227,5299,411,2017/1/10 0:00
227210,5179,173,2010/12/6 0:00
227465,3031,173,2003/7/2 0:00